gridID,mng_name,trt,climate,t1_mean,t1_se,t3_mean,t3_se,n
871002,SL2,Natural Forest,RCP8.5 CSIRO,4.299,0,3.4516,0.18031378205783383,5
871002,SL2,Natural Forest,RCP8.5 GFDL,4.299,0,13.8918,0.7066128643040683,5
871002,SL2,Natural Forest,RCP8.5 HadGEM2,4.299,0,12.997,0.7470508684152641,5
878047,CL,Natural Forest,Current,3.665,0,1.5944,0.039182394005471397,5
878047,CL,Natural Forest,RCP2.6 MIROC5,3.665,0,1.4388,0.0984562847156036,5
878047,CL,Natural Forest,RCP8.5 CSIRO,3.665,0,3.5788,0.3941054934912732,5
878047,CL,Natural Forest,RCP8.5 GFDL,3.665,0,15.923400000000001,0.5587635099037876,5
878047,CL,Natural Forest,RCP8.5 HadGEM2,3.665,0,10.099,0.3699679715867308,5
878047,SL1,Natural Forest,Current,3.665,0,1.749,0.2460219502402174,5
878047,SL1,Natural Forest,RCP2.6 MIROC5,3.665,0,1.6564,0.13150840277335893,5
878047,SL1,Natural Forest,RCP8.5 CSIRO,3.665,0,3.226,0.189045761655743,5
878047,SL1,Natural Forest,RCP8.5 GFDL,3.665,0,15.4448,0.9209756457149122,5
878047,SL1,Natural Forest,RCP8.5 HadGEM2,3.665,0,7.87,1.3845573660921384,5
878047,SL2,Natural Forest,Current,3.665,0,1.3943999999999999,0.12765210534887392,5
878047,SL2,Natural Forest,RCP2.6 MIROC5,3.665,0,1.59,0.1595111281384468,5
878047,SL2,Natural Forest,RCP8.5 CSIRO,3.665,0,3.9619999999999997,0.13149790872861813,5
878047,SL2,Natural Forest,RCP8.5 GFDL,3.665,0,14.6754,0.4169724930975661,5
878047,SL2,Natural Forest,RCP8.5 HadGEM2,3.665,0,7.2158,0.8296286157070524,5
890741,CL,Natural Forest,Current,10.351,0,0.9782000000000001,0.08272266920258316,5
890741,CL,Natural Forest,RCP2.6 MIROC5,10.351,0,1.0036,0.06359292413468655,5
890741,CL,Natural Forest,RCP8.5 CSIRO,10.351,0,2.6734,0.18134624341298058,5
890741,CL,Natural Forest,RCP8.5 GFDL,10.351,0,13.2404,0.765585240192103,5
890741,CL,Natural Forest,RCP8.5 HadGEM2,10.351,0,6.7314,0.6085369832639591,5
890741,SL1,Natural Forest,Current,10.351,0,1.8024,0.24596231418654357,5
890741,SL1,Natural Forest,RCP2.6 MIROC5,10.351,0,1.6562,0.17529814602556407,5
890741,SL1,Natural Forest,RCP8.5 CSIRO,10.351,0,3.5038,0.1598488035613654,5
