t1_saplings_agb_cut,t1_sasa_cut,mng_case,climate,min,median,mean,sd,max,n,se
<1 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,14.6315,14.9663,14.93004,0.22394121550085375,15.2388,5,0.10014955616476771
<1 kg/m2,<3 kg/m2,CL,RCP8.5 HadGEM2,14.347433333333333,14.9231,14.81472,0.26183083767111104,14.9593,5,0.11709431032766339
<1 kg/m2,<3 kg/m2,SL,Current,15.1388,15.2034,15.201653333333333,0.05919528228198989,15.287533333333334,5,0.026472935025963654
<1 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,10.908966666666666,10.985633333333332,11.049773333333333,0.14080144096484887,11.222166666666666,5,0.06296831866546512
<1 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,11.2591,11.444966666666666,11.569073333333334,0.3429461436500555,12.085866666666666,5,0.15337017796458638
<1 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,11.039833333333334,11.326233333333333,11.324433333333333,0.3172892607700424,11.834133333333334,5,0.1418960711224944
<1 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,12.191533333333334,12.293333333333333,12.471913333333333,0.3689671489441845,13.068766666666667,5,0.16500712530069725
<1 kg/m2,<5 kg/m2,CL,Current,2.129,2.5955,2.4763,0.30830151637642017,2.7880000000000003,5,0.137876629636788
<1 kg/m2,<5 kg/m2,CL,RCP2.6 MIROC5,1.573,2.027,1.9488999999999999,0.29835725229999016,2.3465,5,0.1334294195445667
<1 kg/m2,<5 kg/m2,CL,RCP8.5 CSIRO,9.872499999999999,10.9915,10.8501,0.9247539807970552,11.963000000000001,5,0.4135625527051501
<1 kg/m2,<5 kg/m2,CL,RCP8.5 GFDL,16.0025,17.863500000000002,18.052,1.5362451789997584,20.2235,5,0.6870297300699584
<1 kg/m2,<5 kg/m2,CL,RCP8.5 HadGEM2,16.386000000000003,17.569499999999998,17.6442,1.2952553126700537,19.3385,5,0.5792557854695969
<1 kg/m2,<5 kg/m2,SL,Current,14.6735,15.4445,15.388,0.4376234111653533,15.852,5,0.19571113918221408
<1 kg/m2,<5 kg/m2,SL,RCP2.6 MIROC5,9.0015,10.617,10.315800000000001,0.7822309920988814,10.937000000000001,5,0.3498243344880399
<1 kg/m2,<5 kg/m2,SL,RCP8.5 CSIRO,10.539,11.877,11.864,0.926687110086247,13.125,5,0.4144270744051359
<1 kg/m2,<5 kg/m2,SL,RCP8.5 GFDL,10.759,11.021,11.1997,0.5695592155342586,12.1675,5,0.2547146246292113
<1 kg/m2,<5 kg/m2,SL,RCP8.5 HadGEM2,10.535,12.017,12.2225,1.8467048356464548,15.1905,5,0.8258715093766099
<2 kg/m2,<2 kg/m2,CL,Current,6.836467741935484,6.977729032258065,6.968476129032258,0.08566370993479042,7.074583870967742,5,0.03830997572380309
<2 kg/m2,<2 kg/m2,CL,RCP2.6 MIROC5,5.292741935483871,5.400606451612903,5.394224516129032,0.06468575702835128,5.468648387096774,5,0.028928349978285646
<2 kg/m2,<2 kg/m2,CL,RCP8.5 CSIRO,17.76924516129032,17.859509677419354,17.85586516129032,0.062470154888722845,17.930358064516128,5,0.027937502579225018
<2 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,19.897683870967743,19.954229032258066,19.961398709677418,0.044828381590748444,20.00748064516129,5,0.020047861711642734
<2 kg/m2,<2 kg/m2,CL,RCP8.5 HadGEM2,20.618503225806453,20.710206451612905,20.698650967741937,0.06752430380669257,20.794664516129032,5,0.03019778668902248
<2 kg/m2,<2 kg/m2,SL,Current,14.815654838709678,14.895170967741935,14.87460129032258,0.040713470606983854,14.907312903225806,5,0.018207617575431104
<2 kg/m2,<2 kg/m2,SL,RCP2.6 MIROC5,10.844574193548388,10.925841935483872,10.91672193548387,0.062336716631328885,11.002564516129032,5,0.027877827176358616
<2 kg/m2,<2 kg/m2,SL,RCP8.5 CSIRO,10.887677419354839,11.070383870967742,11.04842,0.11806520979436622,11.187135483870968,5,0.05280036697559536
<2 kg/m2,<2 kg/m2,SL,RCP8.5 GFDL,11.070322580645161,11.137735483870967,11.14431870967742,0.06497991694869867,11.222483870967743,5,0.02905990229391619
<2 kg/m2,<2 kg/m2,SL,RCP8.5 HadGEM2,12.25753870967742,12.375883870967742,12.406983870967743,0.11165494963661893,12.542851612903226,5,0.04993361148235907
<2 kg/m2,<3 kg/m2,CL,Current,4.587552763819096,4.651467336683417,4.64595175879397,0.03526318358232418,4.679125628140704,5,0.015770175118626283
<2 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,3.793020100502513,3.8396180904522614,3.8375758793969847,0.029369936359972534,3.871994974874372,5,0.013134634839148264
<2 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,16.28410552763819,16.340743718592964,16.337996984924622,0.039338262820623617,16.394281407035177,5,0.017592605956733405
