t1_saplings_agb_cut,t1_sasa_cut,mng_case,climate,t3_dom,min,median,mean,sd,max,n
<1 kg/m2,<5 kg/m2,SL,Current,abiesach,6.374,15.148,13.953166666666666,3.411938713968759,16.35,12
<1 kg/m2,<5 kg/m2,SL,Current,sasa_spp,0.621,2.064,2.1872827804107424,0.8747316481648059,5.906,633
<1 kg/m2,<5 kg/m2,SL,RCP2.6 MIROC5,abiesach,2.154,3.192,4.255942028985507,2.6016053012801086,11.895,69
<1 kg/m2,<5 kg/m2,SL,RCP2.6 MIROC5,acermono,2.991,3.205,3.2073333333333336,0.217509386770625,3.426,3
<1 kg/m2,<5 kg/m2,SL,RCP2.6 MIROC5,betuerma,2.82,2.82,2.82,NA,2.82,1
<1 kg/m2,<5 kg/m2,SL,RCP2.6 MIROC5,fagucren,1.497,2.51,2.4962857142857144,0.4891319473947027,3.514,84
<1 kg/m2,<5 kg/m2,SL,RCP2.6 MIROC5,sasa_spp,0.721,1.9264999999999999,1.9465717213114755,0.5557863022211517,3.506,488
<1 kg/m2,<5 kg/m2,SL,RCP8.5 CSIRO,abiesach,3.626,9.094,9.308044444444445,2.150283052516713,15.419,405
<1 kg/m2,<5 kg/m2,SL,RCP8.5 CSIRO,acermono,5.509,5.509,5.509,NA,5.509,1
<1 kg/m2,<5 kg/m2,SL,RCP8.5 CSIRO,betuerma,4.802,4.802,4.802,NA,4.802,1
<1 kg/m2,<5 kg/m2,SL,RCP8.5 CSIRO,fagucren,2.248,3.621,3.7637510917030568,0.8609320194759228,7.764,229
<1 kg/m2,<5 kg/m2,SL,RCP8.5 CSIRO,sasa_spp,1.704,1.986,2.033333333333333,0.31845564840335305,2.81,9
<1 kg/m2,<5 kg/m2,SL,RCP8.5 GFDL,abiesach,9.323,18.168,17.58853409090909,3.0583767911304847,22.91,88
<1 kg/m2,<5 kg/m2,SL,RCP8.5 GFDL,acermono,15.428,19.1665,19.332076923076922,1.3973447369372216,21.606,26
<1 kg/m2,<5 kg/m2,SL,RCP8.5 GFDL,betuerma,14.346,14.6765,14.6765,0.4673975823643076,15.007,2
